file	ported	total_tests	passing	failing	status	real_pass	real_total	expect_failure
t4032-diff-inter-hunk-context	yes	37	16	21	ok	16	37	0
t4033-diff-patience	yes	11	4	7	ok	4	11	0
t4034-diff-words	yes	66	7	59	ok	7	66	0
t4035-diff-quiet	yes	23	15	8	ok	15	23	0
t4036-format-patch-signer-mime	yes	5	5	0	ok	5	5	0
t4038-diff-combined	yes	26	6	20	ok	5	25	1
t4039-diff-assume-unchanged	yes	4	1	3	ok	1	4	0
t4040-whitespace-status	yes	11	7	4	ok	7	11	0
t4041-diff-submodule-option	yes	46	4	42	ok	4	46	0
t4042-diff-textconv-caching	yes	8	1	7	ok	1	8	0
t4043-diff-rename-binary	yes	3	3	0	ok	3	3	0
t4044-diff-index-unique-abbrev	yes	2	0	2	ok	0	2	0
t4045-diff-relative	yes	39	20	19	ok	19	38	1
t4046-diff-unmerged	yes	8	1	7	ok	1	8	0
t4047-diff-dirstat	yes	41	4	37	ok	4	41	0
t4048-diff-combined-binary	yes	14	3	11	ok	3	14	0
t4049-diff-stat-count	yes	4	1	3	ok	1	4	0
t4051-diff-function-context	yes	42	12	30	ok	12	42	0
t4052-stat-output	yes	89	17	72	ok	17	89	0
t4053-diff-no-index	yes	0	0	0	timeout	0	0	0
t4054-diff-bogus-tree	yes	14	7	7	ok	7	14	0
t4055-diff-context	yes	10	5	5	ok	5	10	0
t4056-diff-order	yes	23	10	13	ok	10	23	0
t4057-diff-combined-paths	yes	4	0	4	ok	0	4	0
t4058-diff-duplicates	yes	16	7	9	ok	5	14	2
t4059-diff-submodule-not-initialized	yes	8	1	7	ok	1	8	0
t4060-diff-submodule-option-diff-format	yes	50	6	44	ok	6	50	0
t4061-diff-indent	yes	33	2	31	ok	2	33	0
t4062-diff-pickaxe	yes	3	3	0	ok	3	3	0
t4063-diff-blobs	yes	18	2	16	ok	2	18	0
t4064-diff-oidfind	yes	10	5	5	ok	5	10	0
t4065-diff-anchored	yes	7	7	0	ok	7	7	0
t4066-diff-emit-delay	yes	2	2	0	ok	2	2	0
t4067-diff-partial-clone	yes	9	0	9	ok	0	9	0
t4068-diff-symmetric-merge-base	yes	36	1	35	ok	1	36	0
t4069-remerge-diff	yes	16	1	15	ok	1	16	0
t4070-diff-pairs	yes	7	0	7	ok	0	7	0
t4071-diff-minimal	yes	1	1	0	ok	1	1	0
